X,Y,se_sdo_rowid,se_anno_cad_data,bezirk,adresse,anzahl,art_kat
16.369846255862569,48.186962265127946,286521,,4,"Kolschitzkygasse 15, Schönburgstraße",4,0
16.374643870078611,48.210021674221089,286522,,1,Lugeck 1,6,0
16.366084375142854,48.190036405536411,286523,,4,Wiedner Hauptstraße 68,6,0
16.349758340742753,48.204245583842301,286524,,7,Burggasse 46,6,0
16.345944916952757,48.202244407064768,286525,,7,Bandgasse 19,8,0
16.345827763772359,48.205605835352472,286526,,7,Neustiftgasse 95-99,22,0
16.344258676270073,48.202761773904314,286527,,7,Kandlgasse 9,8,0
16.34688833505524,48.202113830873486,286528,,7,Hermanngasse 17,6,0
16.382669765510812,48.146344764788132,286529,,10,"Favoritenstraße, ÖBB Donauländebahn",8,0
16.406267319278552,48.137249611412663,286530,,10,Oberlaaer Straße 24,8,0
16.397086172859762,48.199110548797364,286531,,3,"Apostelgasse 16, Hainburger Straße",8,0
16.378397251371904,48.198470128802519,286532,,3,Strohgasse 28,14,0
16.387973433890295,48.197209799623039,286533,,3,Barichgasse 40-42,16,0
16.384420434353832,48.202779977675085,286534,,3,"Beatrixgasse 11-17, Linke Bahngasse",8,0
16.388867282876195,48.207309856203153,286535,,3,Bechardgasse 24,6,0
16.365509373221283,48.21907567652768,286536,,9,Berggasse ggü. 31,2,0
16.380626260165442,48.228469931175738,286537,,20,Nordwestbahnstraße 37,6,0
16.374508364788785,48.17820368163958,286538,,10,Gudrunstraße 145-149,6,0
16.438770616683279,48.240838674783568,286539,,22,Bernoullistraße 1,10,0
16.295178666214358,48.190079224260309,286540,,14,Onno-Klopp-Gasse 2,16,0
16.332754946275795,48.212106615280895,286541,,16,Gaullachergasse 49-51,12,0
16.366778748822895,48.192843504450494,286542,,4,"Fleischmanngasse 1, Wiedner Hauptstraße",4,0
16.349666899241772,48.204248670376536,286543,,7,Burggasse 46 - Erweiterung,12,0
16.385992906818039,48.195012730878339,286544,,3,"Rechte Bahngasse, S-Bahn Rennweg",20,0
16.374082286943008,48.189514203665752,286545,,4,Viktorgasse 14,6,0
16.37462342035171,48.188251080270881,286546,,4,Weyringergasse 33-35,4,0
16.361078432885506,48.194769395450152,286547,,4,Kettenbrückengasse 8,4,0
16.36478769432129,48.197920670211168,286548,,4,Kühnplatz 5-6,8,0
16.406654517835431,48.194448412158174,286549,,3,Markhofgasse 2,5,0
16.370258356923443,48.193776834365153,286550,,4,Favoritenstraße 22,4,0
16.386129058649086,48.19350979115999,286551,,3,Fasangasse 10,4,0
16.385984088495288,48.194838401563217,286552,,3,"Rechte Bahngasse 33B, S-Bahn Rennweg",6,0
16.367398332730691,48.198323764404506,286553,,4,"Schaurhofergasse 2-4, Wiedner Hauptstraße",10,0
16.38641414362662,48.217265713645432,286554,,2,"Odeongasse, Weintraubengasse ggü. 22",8,0
16.342763640835152,48.214117995754464,286555,,8,Breitenfelder Gasse 13,6,0
16.341582982975737,48.214039782090651,286556,,8,Blindengasse 46A,4,0
16.375835747715577,48.192413954569808,286557,,4,Theresianumgasse 16-18,12,0
16.388574035339925,48.204400660523881,286558,,3,Landstraßer Hauptstraße 23,6,0
16.341668313170175,48.214097639995202,286559,,8,Breitenfelder Gasse 19,6,0
16.369725981035415,48.19681284316696,286560,,4,Karlsgasse 15,4,0
16.399212390668797,48.204042712456541,286561,,2,Schüttelstraße 65,18,0
16.342584183887105,48.214260502833,286562,,8,Bennogasse 25,8,0
16.345198644137238,48.214229208186154,286563,,8,Breitenfelder Gasse 4,4,0
16.371996748674103,48.189771675672127,286564,,4,Favoritenstraße 48,6,0
16.315061169271583,48.209507527061,286565,,16,Koppstraße 110,6,0
16.364478597963945,48.190740451170846,286566,,4,Rubensgasse 10,8,0
16.376957947616276,48.191390880703558,286567,,4,"Belvederegasse 14-16, Mommsengasse",8,0
16.344003833352915,48.21420897248143,286568,,8,Albertplatz 8A,8,0
16.343685360595764,48.214135600827973,286569,,8,Albertplatz 4,8,0
16.370746758992027,48.192378470099818,286570,,4,Möllwaldplatz 1,8,0
16.37363878631832,48.196423807921988,286571,,4,Wohllebengasse 12-14,6,0
16.344007065747629,48.214141271691666,286572,,8,Albertplatz 1,8,0
16.323948126262987,48.177592739216031,286573,,12,Ratschkygasse 34,6,0
16.314295521634449,48.215591417368323,286574,,16,Lienfeldergasse 30,4,0
16.383006575164607,48.199194466929022,286575,,3,Am Modenapark 7,8,0
