district_nr,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,1652449,1661246,1671221,1680135,1689995,1702855,1717084,1741246,1766746
1,17285,17147,16976,16623,16525,16385,16290,16268,16131
2,92170,93313,93463,93822,94735,95302,96582,96866,99597
3,84208,83919,83050,82979,83061,83955,84574,85508,86454
4,30126,30189,30262,30348,30331,30541,30724,30989,31452
5,52534,52286,52434,52288,52354,52753,52581,53071,53610
6,29369,29463,29430,29197,29323,29308,29388,30117,30613
7,30416,29955,30054,29878,30069,30062,30101,30309,30792
8,23597,23613,23703,23639,23435,23379,23560,23930,24279
9,39264,39160,39466,39167,39344,39315,39431,39968,40528
10,167238,169413,171113,173227,174749,176558,178358,182595,186450
11,82722,82903,85834,87966,89461,90394,91223,92274,93440
12,84240,85011,85736,86950,87462,88023,88515,89616,90874
13,51356,51304,51127,50981,51015,50966,50650,50831,51275
14,82829,83246,83751,83980,84090,84566,84973,86248,87597
15,70235,70228,70291,70600,70830,71491,71651,73527,74791
16,93817,93877,94193,94526,94816,94951,95704,97565,99094
17,52480,52626,52414,52253,52328,52293,52647,53489,54422
18,47291,47333,47478,47619,47693,47575,47632,48162,48365
19,67389,67832,67961,67837,67865,68079,68460,68892,69242
20,81288,81719,81648,81986,82083,82969,83351,83977,84305
21,136625,137335,138678,139498,140647,142199,144263,146516,148947
22,146892,149083,150967,153148,155527,158417,161957,165265,168394
23,89078,90291,91192,91623,92252,93374,94469,95263,96094
